question_id,story_id,question, option_a,option_b, option_c, option_d,correct_answer,  difficulty_level
1,1,"At the beginning of the story, where was Mia?",a. She was in her bedroom.,b. She was in the bathroom.,c. She was at the kitchen table.,d. She was on a bench outside.,a,0.0
2,1,What time of the day was it?,a. middle of the day,b. late in the evening,c. early in the morning,d. late in the afternoon,c,1.0
3,1,What do you think will happen next?,a. She will have lunch.,b. She will have dinner.,c. She will have a snack.,d. She will have breakfast.,d,1.0
4,1,What will she say when she gets up?,a. “Good evening.”,b. “Good afternoon!”,c. “Good morning!”,d. “Thank you very much!”,c,1.0
5,1,What other title can be given for this story?,a. The End of the Day,b. The Start of the Day,c. Just Before Sleeping,d. The Middle of the Day,b,1.5
6,2,Why did Benito and Nelia race out the door?,a. They wanted to buy something.,b. They wanted to open the door.,c. They wanted to find out what was going on.,d. They wanted to know what was making noise.,a,1.0
7,2,"In the beginning, what did Benito plan to do?",a. buy ice cream for himself and his sister,b. buy two scoops of ice cream for himself,c. buy two scoops of ice cream for his sister,d. reach the ice cream vendor ahead of his sister,b,0.0
8,2,Why were they smiling at the end of the story?,a. They each got a free ice cream cone.,b. They made the ice cream vendor happy.,c. They shared a cup with two scoops of ice cream.,d. They each had a scoop of ice cream on a cone.,d,1.0
9,2,A vendor is someone who ___________________.,a. sells things,b. buys things,c. counts things,d. gives things away,a,1.0
10,2,Which of the following best describes Benito?,a. He is selfish.,b. He is giving.,c. He is thrifty.,d. He is greedy.,b,1.0
11,3,Where did the bird come from?,a. an egg with lots of spots,b. an egg with many colors,c. an egg with only one color,d. an egg with plenty of stripes,a,0.0
12,3,Why was the bird afraid?,a. He did not have any friends.,b. He did not know how to fly.,c. He did not know his mother.,d. He did not see his brothers.,b,1.0
13,3,Why was the bird’s mother not in the nest?,a. She had to look for a nest to house the little bird.,b. She had to leave the bird so he will learn on his own.,c. She had to find food to feed the hungry little bird.,d. She had to look for something to help the little bird fly.,c,1.0
14,3, How did the bird learn to fly?,a. by studying and practicing,b. by watching other birds fly,c. by having his mother teach him,d. by accidentally flapping its wings,d,1.0
15,3,"At the end of the passage, how did the little bird feel?",a. lonely,b. afraid,c. nervous,d. excited,d,1.0
16,4,What was the owl’s problem?,a. She slept in the morning.,b. She couldn’t hoot at night.,c. She was awake all night long.,d. She couldn’t wake the people up.,b,1.0
17,4,What was the rooster’s problem?,a. He couldn’t hoot with the owl.,b. He couldn’t wake the people up.,c. He couldn’t sleep in the morning.,d. He couldn’t be with his friends.,b,0.0
18,4,The word rouse has a synonym in the selection. What is this word?,a. wake,b. solve,c. slept,d. hoot,a,1.0
19,4,How did the owl and the rooster feel at the end of the passage?,a. worried,b. alarmed,c. relieved,d. unhappy,c,1.0
20,4,What was the author's purpose when she wrote the selection?,a. to inform,b. to entertain,c. to evaluate,d. to convince,b,1.5
21,5,"Mara woke up with a start. When a person wakes up with a start, it means that one
got out of bed ____________________.",a. sad,b. happy,c. worried,d. excited,c,1.0
