story_id,title,grade_level,difficulty_level,content
1,The Best Part of the Day,4,-1.5,"Mia was in her bedroom when she heard a rooster crow. Then
she heard a man yell, “Hot pandesal! Buy your hot pandesal!” Mia
wanted to sleep some more. But she knew she might be late for
school if she did. Finally, she began to smell fried eggs and fish.
“It’s time to get up,” she said. Mia jumped out of bed and ran down
the steps."
2,Ice Cream for Sale,4,-1.5,"“Cling! Cling! Cling!” Benito and his sister Nelia raced out the door.
He took some coins from his pocket and counted them. “I can have
two scoops,” he thought. But then his little sister Nelia asked, “Can
I have an ice cream?” Benito looked at his coins again. “May I have
two cones?” he asked. The vendor nodded. Benito and Nelia left
with a smile."
3,At Last!,4,-1.5,"The spotted egg finally hatched. Out came a little bird who was
afraid. The tree where his mother built their nest was just too tall. “I
don’t know how to fly,” he thought. He looked around for his mother,
but she was not there. Where could she be? He looked down and
felt his legs shake. He started to get dizzy and fell out of his nest.
He quickly flapped his wings. At last – he was flying."
4,The Owl and the Rooster,4,-1.5,"While the other owls slept in the day time, Hootie slept at night.
She always yawned and fell asleep when her friends asked her to
hoot with them. This made her sad because she liked hooting a lot.
One day, she met a rooster who could not wake up in the morning.
He could not awaken the villagers. This made the rooster unhappy.
Hootie said, “I know how to help you. I’ll hoot in the morning so you
can wake up to do your job!”"
5,Early Start,5,-1.5,"Mara woke up with a start. “Oh no!” The sun was shining brightly
on her face. She looked at her alarm clock. She was not going to
make it to school. She hurriedly put on her uniform, gathered her
things and dumped them into her bag. She rushed so that she could
be in school before the bell rang. As she was going out the door,
her mother stopped her and asked, “Why are you rushing? Did you
forget? It’s Saturday today!”"
6,Rice for Lunch,5,-1.5,"Anika washed the rice grains. Then she put them into a pot. She
also put in two cups of water. Finally, she covered the pot and left it
on the electric stove. After twenty minutes, she went to check on the
pot. It was not hot. She saw that the plug was still on the floor. Anika
looked at the clock and shook her head. It was almost lunchtime."
7,The Gift,5,-1.5,"The colorfully-wrapped box was lying on the table when Mario got
home. Thinking that it was his parents’ birthday gift to him, he took
it and quickly tore it open. It was the coolest looking pair of shoes
he had ever seen. Mario put them on, walked out into the street and
jumped into a puddle. “Mario, why are you wearing your brother’s
shoes?” his Mother cried. When he looked down, he said, “Oh no,
that’s a lot of cleaning I have to do.”"
8,One Stormy Night,5,-1.5,"That night, Jessica helped her mother close the windows. The wind
was howling. Droplets of rain started pelting the roof. “Go find the
candles and I will get the matches,” said her mother. Lightning
flashed. A clap of thunder followed. Soon after, the lights went off.
“A blackout!” shouted Jessica. “Don’t be alarmed. It’s a good thing
we have what we need,” said mother."
9,Chameleons,6,-1.5,"Chameleons are extraordinary animals. They are one of the few
animals that can change their color. This is their way of hiding
themselves. Chameleons that live in trees are often green. Those
that live in desert lands are usually brown.
It is also their way of keeping warm. Turning a darker shade
helps them absorb more heat. They also change colors to send
messages to other chameleons. Their bright colors may attract
another chameleon or warn enemies."
10,The Philippine Eagle,6,-1.5,"The Philippine Eagle has replaced the maya as our national bird. It
is one of the three largest and strongest eagles in the world. But it
is in danger of extinction. Hunting and deforestation have caused
the number of Philippine Eagles to dwindle. Scientists have tried to
increase their number by breeding them in captivity. The first eagle
to be bred in captivity is Pag-asa. At 25 years old, Pag-asa is not yet
suited to be released to the wild as she has developed dependency
on her human keeper."
11,Home to Millions of Fish,6,-1.5,"Coral reefs are found in shallow areas of tropical ocean waters.
They are like beautiful underground gardens that grow in salty
waters. Millions of fish and sea plants make their home in the reefs
as these provide a safe sanctuary for them. They allow small fish to
hide from large predator fish.
But many coral reefs are in trouble. Water pollution is destroying
many reefs. Tourism likewise harms them. If reefs are damaged,
we will lose many of our most beautiful fish."
